jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
 556,    0.732, 0.618487
 557,    0.732,  0.61688
 558,    0.732, 0.621893
 559,    0.732, 0.625016
 560,    0.732, 0.626348
 561,    0.732, 0.628627
 562,   0.7253, 0.626345
 563,   0.7253, 0.630536
 564,   0.7253, 0.625049
 565,   0.7253, 0.623253
 566,   0.7253, 0.629809
 567,   0.7253, 0.629282
 568,    0.731, 0.629564
 569,   0.7329, 0.622956
 570,   0.7329,  0.62996
 571,   0.7329, 0.625077
 572,   0.7356, 0.625262
 573,   0.7356, 0.627598
 574,   0.7395, 0.627954
 575,   0.7395,  0.62617
 576,   0.7395, 0.627073
 577,   0.7395, 0.622042
 578,   0.7364, 0.629883
 579,   0.7364, 0.637787
 580,   0.7364, 0.632202
 581,   0.7364, 0.639928
 582,   0.7364, 0.632242
 583,   0.7364, 0.632813
 584,   0.7413, 0.637734
 585,   0.7379, 0.634431
 586,   0.7379, 0.635589
 587,   0.7379, 0.636525
 588,   0.7379, 0.634565
 589,   0.7383, 0.631298
 590,   0.7383, 0.637543
 591,   0.7383, 0.635439
 592,   0.7383, 0.636541
 593,   0.7383, 0.637088
 594,   0.7383, 0.635132
 595,   0.7412, 0.640579
 596,   0.7422, 0.641267
 597,   0.7422, 0.642931
 598,   0.7422, 0.635492
 599,   0.7422, 0.640591
 600,   0.7422, 0.634998
 601,   0.7422, 0.638039
 602,   0.7441, 0.634962
 603,   0.7441, 0.645963
 604,   0.7441, 0.648376
 605,   0.7441, 0.651926
 606,   0.7441,  0.64999
 607,   0.7441, 0.638672
 608,   0.7441, 0.637332
 609,   0.7437, 0.634113
 610,   0.7437, 0.636462
 611,   0.7437, 0.645602
 612,   0.7437, 0.645125
 613,   0.7437,   0.6486
 614,   0.7437, 0.650679
 615,   0.7437, 0.644983
 616,   0.7437, 0.642849
 617,   0.7437, 0.645607
 618,   0.7437, 0.640295
 619,   0.7437, 0.642558
 620,   0.7437, 0.642709
 621,   0.7437, 0.642572
 622,   0.7437, 0.642618
 623,   0.7437, 0.645091
 624,   0.7431, 0.650985
 625,   0.7431, 0.640122
 626,   0.7431, 0.637013
 627,   0.7431, 0.643178
 628,   0.7431,  0.63667
 629,   0.7431, 0.635508
 630,   0.7431, 0.645965
 631,   0.7431, 0.649142
 632,   0.7431, 0.640241
 633,   0.7473,  0.64221
 634,   0.7473,  0.64772
 635,   0.7473, 0.647771
 636,   0.7473, 0.648214
 637,   0.7473, 0.640818
 638,   0.7473, 0.645657
 639,   0.7473, 0.641688
 640,   0.7473, 0.643613
 641,   0.7473, 0.636386
 642,   0.7456, 0.641404
 643,   0.7456,  0.64103
 644,   0.7456, 0.644186
 645,   0.7456, 0.641604
 646,   0.7456, 0.648928
 647,   0.7456, 0.651855
 648,   0.7456, 0.651625
 649,   0.7456, 0.651009
 650,   0.7456, 0.652606
 651,   0.7456, 0.645514
 652,   0.7456, 0.645572
 653,   0.7456, 0.647813
 654,   0.7456, 0.642988
 655,   0.7482, 0.639432
 656,   0.7482, 0.650733
 657,   0.7481, 0.647168
 658,   0.7481, 0.646141
 659,   0.7481,  0.64851
 660,   0.7481, 0.649274
 661,   0.7481, 0.655132
 662,   0.7481, 0.651461
 663,   0.7481, 0.647743
 664,   0.7481, 0.653104
 665,   0.7496, 0.641452
 666,   0.7496, 0.642599
 667,   0.7496, 0.649745
 668,   0.7496, 0.639238
 669,   0.7496, 0.647837
 670,   0.7496, 0.644516
 671,   0.7496, 0.647267
 672,   0.7496, 0.630939
 673,   0.7496, 0.635714
 674,   0.7496, 0.647674
 675,   0.7496, 0.651381
 676,   0.7496, 0.656634
 677,   0.7496, 0.646778
 678,   0.7496, 0.647292
 679,   0.7496, 0.646908
 680,   0.7496, 0.649483
 681,   0.7496,  0.64871
 682,   0.7527, 0.658752
 683,   0.7527, 0.644995
 684,   0.7527, 0.654499
 685,   0.7527, 0.651273
 686,   0.7527, 0.651241
 687,   0.7527, 0.656939
 688,   0.7527, 0.647772
 689,   0.7527, 0.658727
 690,   0.7527, 0.663856
 691,   0.7527, 0.652544
 692,   0.7539, 0.657158
 693,   0.7539, 0.652537
 694,   0.7511, 0.653984
 695,   0.7511, 0.648692
 696,   0.7511, 0.642267
 697,   0.7511, 0.642804
 698,   0.7511,  0.64044
 699,   0.7511, 0.647833
 700,   0.7511, 0.652902
 701,   0.7511, 0.653996
 702,   0.7511, 0.654898
 703,   0.7511,  0.64541
 704,   0.7511,  0.64953
 705,   0.7511, 0.647419
 706,   0.7511, 0.640753
 707,   0.7511, 0.646094
 708,   0.7511, 0.644723
 709,   0.7511, 0.656502
 710,   0.7511, 0.648032
 711,   0.7511, 0.649167
 712,   0.7511,  0.64072
 713,   0.7511, 0.647426
 714,   0.7511, 0.645001
 715,   0.7511, 0.639919
 716,   0.7511, 0.646024
 717,   0.7511, 0.649242
 718,   0.7511, 0.648948
 719,   0.7511, 0.644397
 720,   0.7511, 0.647655
 721,   0.7511, 0.649053
 722,   0.7511, 0.651111
 723,    0.754,  0.65581
 724,    0.754, 0.652741
 725,    0.754, 0.649367
 726,    0.754, 0.648105
 727,   0.7565, 0.653408
 728,   0.7565, 0.651609
 729,   0.7565, 0.645116
 730,   0.7565, 0.646168
 731,   0.7565, 0.655448
 732,   0.7565, 0.655686
 733,   0.7565,  0.65356
 734,   0.7565, 0.652453
 735,   0.7565, 0.651629
 736,   0.7565, 0.658119
 737,   0.7565, 0.660279
 738,   0.7565, 0.651806
 739,   0.7565, 0.652632
 740,   0.7565, 0.647448
 741,   0.7565, 0.652093
 742,   0.7565, 0.650918
 743,   0.7565, 0.655516
 744,   0.7565, 0.654203
 745,   0.7565, 0.654852
 746,   0.7565,  0.65213
 747,   0.7565,  0.64725
 748,   0.7565, 0.650749
 749,   0.7565,   0.6494
 750,   0.7565, 0.654551
 751,   0.7565, 0.652327
 752,   0.7565, 0.652789
 753,   0.7565, 0.658213
 754,   0.7565, 0.656971
 755,   0.7565, 0.651326
 756,   0.7565, 0.645312
 757,   0.7565, 0.655665
 758,   0.7568, 0.651646
 759,   0.7561, 0.658987
 760,   0.7561, 0.660392
 761,   0.7561, 0.644702
 762,   0.7561, 0.653522
 763,   0.7561, 0.651614
 764,   0.7561, 0.649674
 765,   0.7561, 0.648984
 766,   0.7561, 0.661308
 767,   0.7561, 0.649127
 768,   0.7561, 0.654365
 769,   0.7561, 0.655322
 770,   0.7561,  0.64846
 771,   0.7561, 0.658328
 772,   0.7561, 0.664138
 773,   0.7561, 0.653535
 774,   0.7561, 0.648811
 775,   0.7561, 0.657405
 776,   0.7561,  0.65593
 777,    0.756, 0.653582
 778,    0.756, 0.653953
 779,    0.756,  0.65853
 780,    0.756, 0.644086
 781,    0.756, 0.644023
 782,    0.756, 0.644026
 783,    0.756, 0.644464
 784,    0.756, 0.644362
 785,    0.756, 0.641208
